"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/09 8:39:20 pm EEST","Male","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Emergency "
"2024/10/09 8:40:49 pm EEST","Male","25-34 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging and earphones ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 8:41:49 pm EEST","Female","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/09 8:43:07 pm EEST","Male","25-34 years","Economy","Laptop","Rarely","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Work"
"2024/10/09 8:44:06 pm EEST","Female","18-24 years","Economy","Laptop","Rarely","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/09 8:45:10 pm EEST","Male","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 8:46:12 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/09 8:47:18 pm EEST","Female","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 8:48:25 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","12","Yes","Business"
"2024/10/09 8:49:33 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/09 8:50:14 pm EEST","Male","25-34 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 8:51:15 pm EEST","Male","25-34 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging and earphones ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/09 8:52:32 pm EEST","Female","25-34 years","Economy","Smartphone","Occasionally","100-500 MB","Yes","Earphone ","International","8-10 hours","Less than 5 times","No","Leisure"
"2024/10/09 8:53:23 pm EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/09 8:54:30 pm EEST","Male","25-34 years","Business","Tablet","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/09 8:55:33 pm EEST","Female","25-34 years","Economy","Laptop","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/09 8:56:20 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/09 8:57:06 pm EEST","Female","25-34 years","Economy","None ","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
